type,instruction,pipelined,拍数,imm低字段,含义,备注
,HSTT（4096bit）,,24（平均）,,,"dst_pe_idx：n,4条硬件指令之间的偏移为（n+1）*32*4Bytes，详见word文档；
other_info[0]==1，表示结合Mask寄存器；
other_info[0]==0 or NULL,表示不需要结合Mask寄存器;
详细见word文档",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SSTM（4096bit）,,24（平均）,,,"索引粒度为8bit，写回最低K={dst_pe_idx[4:0]，dst_pe_idx[8:7]}个分量，或者最高128-K个分量。
dst_pe_idx[4:0]: 
dst_pe_idx[6:5]: [hign,low]
dst_pe_idx[8:7]: 
dst_pe_idx[10:9]:regidx索引，SIMD128模式对应选择4个regid中的一个，SIMD64，SIMD32按比例减少。
[high,low]为2'b01，根据regidx选择某个寄存器，写regidx寄存器内最高的128-K个分量，同时编号大于此寄存器的其它寄存器全部写回；
[high,low]为2'b10，根据regidx选择某个寄存器，写regidx寄存器内最低的128-K个分量，同时编号小于此寄存器的全部写回；
[high,low]为2'b00，表示所有分量全部写回;
K==0,所有分量全部写回；",,,,,,,,,,,,,,,,,,,,,,,,
,SSTSHIF（4096bit）,,24（平均）,,," 汇编器可见，模拟器和硬件不可见。把指令翻译成四条LDSHIF指令(补充指令之间偏移设置信息)Value(Operand index 2) = SPM(LD Base Reg X +IMM (+/-)LRX[shft_No] * shft_cnt )  
dst_pe_idx[:10]：4条STSHIF指令间的硬件地址偏移；
dst_pe_idx[9]：0-加上暂存的地址偏移；1-减去暂存的地址偏移;
dst_pe_idx[8:3]：shft_cnt 
dst_pe_idx[2:0]：shft_No
选择是否搭配mask寄存器：
other_info[0]==1，表示结合Mask寄存器；
other_info[0]==0 or NULL,表示不需要结合Mask寄存器；
other_info[:1]字段值(1~8):选择前面MASK指令存入的MASK暂存器: {Ext_flag,Ext_offset[1:0],Regid_off[1:0],double_mark,mask_val[4:0]}，送入ST部件处理，信息字段含义参考MASK指令备注。",,,,,,,,,,,,,,,,,,,,,,,,
Flow指令,COPYT,Y,1,,,将一个PE上寄存器的值，拷贝到另一个PE上的寄存器上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
