Name,Function,Source operand,,,Destination  operand
,"imm[1:0]==1   fp32-merge simd32 mode:
Value(Operand index 0)(15:0) =
  [dst7,dst6,dst5,dst4,dst3,dst2,dst1,dst0,      src7,src6,src5,src4,src3,src2,src1,src0]:
  (1)select 8 simds( src7,src6,src5,src4,src3,src2,src1,src0) from Value(Operand index 1)(31:0),
  (2)place them to 8 simds(dst7,dst6,dst5,dst4,dst3,dst2,dst1,dst0) position of Value(Operand index 2)(31:0).
  32>dst7>dst6>dst5>dst4>dst3>dst2>dst1>dst0>=0;  srci < 32;  dsti==0 and i>0,  disable i postion
  special use:  when  src0=src1=dst0=dst1, broadcase Value(Operand index 1)(src0) to all 32 simds
指令写法参考：
LDN, , , idx_reg（16个simd分量分别指定16个index位置）
shfl, idx_reg, val1, val2 ",Operand index 0,,,
,"imm[1:0]==2   fp64-merge simd16 mode:
Value(Operand index 0)(15:0) =
  [dst7,dst6,dst5,dst4,dst3,dst2,dst1,dst0,      src7,src6,src5,src4,src3,src2,src1,src0]:
  (1)select 8 simds( src7,src6,src5,src4,src3,src2,src1,src0) from Value(Operand index 1)(15:0),
  (2)place them to 8 simds(dst7,dst6,dst5,dst4,dst3,dst2,dst1,dst0) position of Value(Operand index 2)(15:0).
  16>dst7>dst6>dst5>dst4>dst3>dst2>dst1>dst0>=0;  srci < 32;  dsti==0 and i>0,  disable i postion
 easy use:  when  src0=src1=dst0=dst1, broadcase Value(Operand index 1)(src0) to all 16 simds",,,,
,"imm[1:0]==3   shift simd32 mode:
shift_num = Value(Operand index 0)(0),   shifting low simds of val2 to the high simds of val1
Value(Operand index 2) = {Value(Operand index 2)(shift_num-1:0), Value(Operand index 1)(31:shift_num)}",,,,
DOUBLE,,,,,
DADD,Value(Operand index 2)  = Value(Operand index 0) + Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
DSUB,Value(Operand index 2)  = Value(Operand index 0) - Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
DMUL,Value(Operand index 2)  = Value(Operand index 0) * Value(Operand index 1) ,Operand index 0,Operand index 1,,Operand index 2
DMAX,"Value(Operand index 2) = max(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
DMIN,"Value(Operand index 2) = min(Value(Operand index 0) , Value(Operand index 1))",Operand index 0,Operand index 1,,Operand index 2
DLT,Value(Operand index 2)  = Value(Operand index 0) < Value(Operand index 1) ? 1:0,Operand index 0,Operand index 1,,Operand index 2
